member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-28,2026,individual contribution,4080420261541053086,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875922945,HM1354
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-05-28,2026,individual contribution,4080420261541062148,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875925966,HM1355
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-06-04,2026,individual contribution,4080420261541062276,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875926008,HM1408
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-06-04,2026,individual contribution,4080420261541049727,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875921825,HM1409
Mark R. Warner,D,Senate,VA,,W000805,Anthropic employees,Anthropic employee,FRIENDS OF MARK WARNER,C00438713,3500.00,2026-06-04,2026,individual contribution,4080420261541051735,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875922495,HM1410
Mark R. Warner,D,Senate,VA,,W000805,ANTHROPAC (Anthropic's PAC),ANTHROPAC,FRIENDS OF MARK WARNER,C00438713,2500.00,2026-07-07,2026,PAC contribution,4090120261595617359,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00946111&sub_id=4090120261595617359,HM320
Markwayne Mullin,R,Senate,OK,,M001190,Anthropic employees,Anthropic employee,MULLIN FOR AMERICA,C00498345,500.00,2025-06-17,2026,individual contribution,4073020251212503374,https://docquery.fec.gov/cgi-bin/fecimg/?202507159762968594,HM712
Markwayne Mullin,R,Senate,OK,,M001190,Anthropic employees,Anthropic employee,MULLIN FOR AMERICA,C00498345,500.00,2025-06-19,2026,individual contribution,4073020251212503247,https://docquery.fec.gov/cgi-bin/fecimg/?202507159762968552,HM713
Martin Heinrich,D,Senate,NM,,H001046,Eric Schmidt,Eric Schmidt,HEINRICH VICTORY FUND,C00603019,6600.00,2023-03-30,2024,individual contribution,4080320231762778971,https://docquery.fec.gov/cgi-bin/fecimg/?202307319584206918,HM3462
Martin Heinrich,D,Senate,NM,,H001046,James McClave,James McClave,MARTIN HEINRICH FOR SENATE,C00434563,3300.00,2023-06-08,2024,individual contribution,4071920231754599263,https://api.open.fec.gov/v1/schedules/schedule_a/?per_page=100&min_date=2015-01-01&sort=-contribution_receipt_date&contributor_name=McClave%2C+James&contributor_state=NY,HM5246
Martin Heinrich,D,Senate,NM,,H001046,Wendy Schmidt,Wendy Schmidt,MARTIN HEINRICH FOR SENATE,C00434563,3300.00,2024-03-05,2024,individual contribution,4050220241921329276,https://docquery.fec.gov/cgi-bin/fecimg/?202404159627983812,HM4741
Martin Heinrich,D,Senate,NM,,H001046,Wendy Schmidt,Wendy Schmidt,MARTIN HEINRICH FOR SENATE,C00434563,3300.00,2024-10-18,2024,individual contribution,4012420251134922364,https://docquery.fec.gov/cgi-bin/fecimg/?202501069740061269,HM4492
Martin Heinrich,D,Senate,NM,,H001046,Anthropic employees,Anthropic employee,MARTIN HEINRICH FOR SENATE,C00434563,2500.00,2025-07-26,2026,individual contribution,4120420251297070428,https://docquery.fec.gov/cgi-bin/fecimg/?202510159790917836,HM731
Maxwell Frost,D,House,FL,10,F000476,Eric Schmidt,Eric Schmidt,MAXWELL ALEJANDRO FROST FOR CONGRESS,C00786822,3300.00,2023-11-21,2024,individual contribution,4020520241819437541,https://docquery.fec.gov/cgi-bin/fecimg/?202401319618998188,HM3404
Michael Lawler,R,House,NY,17,L000599,ARI PAC,ARI PAC,"LAWLER FOR CONGRESS, INC.",C00815415,1000.00,2026-06-02,2026,PAC contribution,4062420261522644406,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8663
Mike Kennedy,R,House,UT,3,K000403,Anthropic employees,Anthropic employee,MIKE KENNEDY FOR UTAH,C00864488,2500.00,2026-02-26,2026,individual contribution,4071720261534594586,https://docquery.fec.gov/cgi-bin/fecimg/?202607039874759676,HM1017
Mike Kennedy,R,House,UT,3,K000403,ARI PAC,ARI PAC,MIKE KENNEDY FOR UTAH,C00864488,2500.00,2026-03-26,2026,PAC contribution,4050120261498882160,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8625
Mike Levin,D,House,CA,49,L000593,Eric Schmidt,Eric Schmidt,MIKE LEVIN FOR CONGRESS,C00634253,3300.00,2024-10-21,2024,individual contribution,4011620251132340137,https://docquery.fec.gov/cgi-bin/fecimg/?202412059720973635,HM3204
Mike Rogers,R,House,AL,3,R000575,Anthropic employees,Anthropic employee,MIKE ROGERS FOR CONGRESS,C00367862,3500.00,2026-05-18,2026,individual contribution,4080320261540889314,https://docquery.fec.gov/cgi-bin/fecimg/?202607159885305269,HM1253
Mike Rogers,R,House,AL,3,R000575,Anthropic employees,Anthropic employee,MIKE ROGERS FOR CONGRESS,C00367862,3500.00,2026-05-18,2026,individual contribution,4080320261540889315,https://docquery.fec.gov/cgi-bin/fecimg/?202607159885305269,HM1254
Mike Rogers,R,House,AL,3,R000575,Anthropic employees,Anthropic employee,MIKE ROGERS FOR CONGRESS,C00367862,3500.00,2026-06-24,2026,individual contribution,4080320261540889295,https://docquery.fec.gov/cgi-bin/fecimg/?202607159885305262,HM1514
Mike Rogers,R,House,AL,3,R000575,Anthropic employees,Anthropic employee,MIKE ROGERS FOR CONGRESS,H2AL03032,3500.00,2026-06-25,2026,individual contribution,,https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_employer=ANTHROPIC+MACHINE+LEARNING&two_year_transaction_period=2026&per_page=100&sort=contribution_receipt_date,HM006
Mike Rogers,R,House,AL,3,R000575,ANTHROPAC (Anthropic's PAC),ANTHROPAC,MIKE ROGERS FOR CONGRESS,C00367862,2500.00,2026-07-07,2026,PAC contribution,4090120261595617356,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00946111&sub_id=4090120261595617356,HM323
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2025-07-26,2026,individual contribution,4122320251299629330,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791406167,HM732
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2025-07-26,2026,individual contribution,4122320251299629332,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791406167,HM733
Mike Rounds,R,Senate,SD,,R000605,ARI PAC,ARI PAC,ROUNDS FOR SENATE,C00532465,2000.00,2025-09-10,2026,PAC contribution,4022520261359193481,https://api.open.fec.gov/v1/schedules/schedule_b/?committee_id=C00893883&two_year_transaction_period=2026&per_page=100&sort=disbursement_date,HM8541
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-04-29,2026,individual contribution,4080120261540357768,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087204,HM1112
